,species,lat,long
2,"Phlebotomus papatasi (Scopoli, 1786)",39.871392,32.73552
10,"Phlebotomus Rondani & Berté, 1840",10.33,76.74
11,"Phlebotomus stantoni Newstead, 1914",10.33,76.74
12,"Phlebotomus Rondani & Berté, 1840",11.28,76.26
28,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.55,76.63
29,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.43,76.8
30,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.43,76.79
31,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.54,76.63
32,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.54,76.62
35,"Phlebotomus colabaensis Young & Chalam, 1927",9.54,76.62
37,"Phlebotomus colabaensis Young & Chalam, 1927",11.3,76.36
38,"Phlebotomus colabaensis Young & Chalam, 1927",11.28,76.26
39,"Phlebotomus colabaensis Young & Chalam, 1927",11.28,76.27
40,"Phlebotomus colabaensis Young & Chalam, 1927",11.29,76.26
41,"Phlebotomus colabaensis Young & Chalam, 1927",11.29,76.27
42,"Phlebotomus colabaensis Young & Chalam, 1927",11.29,76.28
43,"Phlebotomus stantoni Newstead, 1914",11.28,76.26
48,"Phlebotomus argentipes Annandale & Brunetti, 1908",8.14,81.04
52,"Phlebotomus Rondani & Berté, 1840",42.17867,8.7797
73,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.55,76.62
76,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.53,76.63
79,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.54,76.64
97,"Phlebotomus argentipes Annandale & Brunetti, 1908",7.26,80.15
113,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.43,76.93
116,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.52,76.62
118,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.53,76.64
121,"Phlebotomus argentipes Annandale & Brunetti, 1908",9.43,76.92
124,"Phlebotomus colabaensis Young & Chalam, 1927",9.53,76.63
148,"Phlebotomus argentipes Annandale & Brunetti, 1908",7.48443,81.3234
