bio13,predicted_presence_probability
0,0.215223042
8.616161616,0.225189017
17.23232323,0.235478
25.84848485,0.24608778
34.46464646,0.257014892
43.08080808,0.268254562
51.6969697,0.279800656
60.31313131,0.291645642
68.92929293,0.303780561
77.54545455,0.316195011
86.16161616,0.328877144
94.77777778,0.341813674
103.3939394,0.354989905
112.010101,0.368389769
120.6262626,0.381995885
129.2424242,0.395789628
137.8585859,0.409751214
146.4747475,0.423859806
155.0909091,0.438093625
163.7070707,0.452430079
172.3232323,0.466845903
180.9393939,0.481317304
189.5555556,0.495820116
198.1717172,0.510329966
206.7878788,0.524822431
215.4040404,0.539273205
224.020202,0.553658262
232.6363636,0.567954014
241.2525253,0.582137463
249.8686869,0.596186346
258.4848485,0.610079268
267.1010101,0.623795826
275.7171717,0.637316715
284.3333333,0.650623828
292.9494949,0.663700332
301.5656566,0.676530735
310.1818182,0.689100935
318.7979798,0.701398254
327.4141414,0.713411455
336.030303,0.72513075
344.6464646,0.736547788
353.2626263,0.747655632
361.8787879,0.758448732
370.4949495,0.768922873
379.1111111,0.779075131
387.7272727,0.788903806
396.3434343,0.798408362
404.959596,0.80758935
413.5757576,0.816448339
422.1919192,0.824987834
430.8080808,0.833211201
439.4242424,0.841122586
448.040404,0.848726837
456.6565657,0.856029427
465.2727273,0.863036379
473.8888889,0.869754195
482.5050505,0.876189784
491.1212121,0.882350396
499.7373737,0.888243565
508.3535354,0.893877044
516.969697,0.899258754
525.5858586,0.904396737
534.2020202,0.909299104
542.8181818,0.913973998
551.4343434,0.918429554
560.0505051,0.922673867
568.6666667,0.926714959
577.2828283,0.930560757
585.8989899,0.934219063
594.5151515,0.93769754
603.1313131,0.941003692
611.7474747,0.944144851
620.3636364,0.94712816
628.979798,0.949960571
637.5959596,0.952648833
646.2121212,0.955199484
654.8282828,0.957618853
663.4444444,0.959913051
672.0606061,0.962087975
680.6767677,0.964149306
689.2929293,0.966102507
697.9090909,0.967952833
706.5252525,0.969705324
715.1414141,0.971364815
723.7575758,0.97293594
732.3737374,0.974423131
740.989899,0.97583063
749.6060606,0.97716249
758.2222222,0.97842258
766.8383838,0.979614593
775.4545455,0.980742051
784.0707071,0.981808311
792.6868687,0.98281657
801.3030303,0.98376987
809.9191919,0.984671108
818.5353535,0.985523038
827.1515152,0.986328278
835.7676768,0.987089315
844.3838384,0.987808513
853,0.988488115
